#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   1.87979  0.84182 -0.02148      NaN  0.000000  0.000000  0.000000       NaN
   1.89053  0.85249 -0.02023      NaN  0.000000  0.000000  0.000000       NaN
   1.90126  0.86314 -0.01897      NaN  0.000000  0.000000  0.000000       NaN
   1.91198  0.87378 -0.01769      NaN  0.000000  0.000000  0.000000       NaN
   1.92268  0.88441 -0.01640      NaN  0.000000  0.000000  0.000000       NaN
   1.93336  0.89501 -0.01510      NaN  0.000000  0.000000  0.000000       NaN
   1.94400  0.90556 -0.01378      NaN  0.000000  0.000000  0.000000       NaN
   1.95457  0.91606 -0.01246      NaN  0.000000  0.000000  0.000000       NaN
   1.96505  0.92645 -0.01113      NaN  0.000000  0.000000  0.000000       NaN
   1.97538  0.93670 -0.00981      NaN  0.000000  0.000000  0.000000       NaN
   1.98549  0.94672 -0.00850      NaN  0.000000  0.000000  0.000000       NaN
   1.99528  0.95642 -0.00721      NaN  0.000000  0.000000  0.000000       NaN
   2.00461  0.96568 -0.00598      NaN  0.000000  0.000000  0.000000       NaN
   2.01337  0.97436 -0.00480      NaN  0.000000  0.000000  0.000000       NaN
   2.02145  0.98236 -0.00371      NaN  0.000000  0.000000  0.000000       NaN
   2.02876  0.98960 -0.00271      NaN  0.000000  0.000000  0.000000       NaN
   2.03531  0.99609 -0.00181      NaN  0.000000  0.000000  0.000000       NaN
   2.03926  1.00000 -0.00126      NaN  0.000000  0.000000  0.000000       NaN
   2.03926  1.00010  0.00000      NaN       NaN       NaN  0.000000       NaN
   2.04321  1.00405  0.00001      NaN       NaN       NaN  0.000000       NaN
   2.04761  1.00844  0.00005      NaN       NaN       NaN  0.000000       NaN
   2.05248  1.01332  0.00011      NaN       NaN       NaN  0.000000       NaN
   2.05791  1.01875  0.00020      NaN       NaN       NaN  0.000000       NaN
   2.06393  1.02477  0.00032      NaN       NaN       NaN  0.000000       NaN
   2.07063  1.03146  0.00047      NaN       NaN       NaN  0.000000       NaN
   2.07806  1.03890  0.00067      NaN       NaN       NaN  0.000000       NaN
   2.08633  1.04716  0.00091      NaN       NaN       NaN  0.000000       NaN
   2.09551  1.05633  0.00121      NaN       NaN       NaN  0.000000       NaN
   2.10571  1.06653  0.00157      NaN       NaN       NaN  0.000000       NaN
   2.11704  1.07785  0.00200      NaN       NaN       NaN  0.000000       NaN
   2.12964  1.09043  0.00253      NaN       NaN       NaN  0.000000       NaN
   2.14363  1.10441  0.00316      NaN       NaN       NaN  0.000000       NaN
   2.15918  1.11994  0.00391      NaN       NaN       NaN  0.000000       NaN
   2.17645  1.13719  0.00480      NaN       NaN       NaN  0.000000       NaN
   2.19564  1.15636  0.00585      NaN       NaN       NaN  0.000000       NaN
   2.21697  1.17764  0.00710      NaN       NaN       NaN  0.000000       NaN
   2.24066  1.20129  0.00857      NaN       NaN       NaN  0.000000       NaN
   2.26699  1.22756  0.01030      NaN       NaN       NaN  0.000000       NaN
   2.29624  1.25674  0.01233      NaN       NaN       NaN  0.000000       NaN
   2.32873  1.28915  0.01470      NaN       NaN       NaN  0.000000       NaN
   2.36484  1.32516  0.01748      NaN       NaN       NaN  0.000000       NaN
   2.40496  1.36514  0.02072      NaN       NaN       NaN  0.000000       NaN
   2.44954  1.40956  0.02449      NaN       NaN       NaN  0.000000       NaN
   2.49907  1.45890  0.02887      NaN       NaN       NaN  0.000000       NaN
   2.55410  1.51369  0.03396      NaN       NaN       NaN  0.000000       NaN
   2.61525  1.57455  0.03985      NaN       NaN       NaN  0.000000       NaN
   2.68318  1.64215  0.04665      NaN       NaN       NaN  0.000000       NaN
   2.75867  1.71722  0.05451      NaN       NaN       NaN  0.000000       NaN
   2.84254  1.80060  0.06355      NaN       NaN       NaN  0.000000       NaN
   2.93572  1.89320  0.07395      NaN       NaN       NaN  0.000000       NaN
   3.03926  1.99605  0.08588      NaN       NaN       NaN  0.000000       NaN
